REF,Company (Manufacturer),Company Location,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent (%),Ingredients,Most Memorable Characteristics,Rating
2254,21,57,8,1303,70.0,1,1710,4.0
2330,21,57,23,602,70.0,5,896,3.25
2450,21,57,23,579,70.0,5,118,3.0
2162,22,35,31,814,70.0,1,1062,3.25
2162,22,35,31,871,70.0,1,1715,3.5
2162,22,35,31,316,70.0,1,1485,3.5
2166,22,35,31,76,70.0,1,230,3.0
300,23,56,9,338,72.0,5,1784,3.75
355,23,56,57,950,75.0,5,1303,2.5
355,23,56,24,603,71.65558252427185,5,860,2.75
363,23,56,4,188,72.0,5,229,1.75
363,23,56,35,1006,75.0,5,1757,3.0
363,23,56,13,402,72.0,5,1740,3.25
531,23,56,26,595,72.0,5,793,3.75
600,23,56,10,352,72.0,5,187,3.25
600,23,56,58,99,72.0,5,2007,3.25
600,23,56,24,119,72.0,5,71,3.5
729,23,56,21,551,72.0,5,1180,4.0
745,23,56,33,982,72.0,5,83,2.75
947,23,56,8,319,72.0,5,1054,3.75
1193,23,56,53,1299,72.0,5,839,3.25
1181,24,56,8,967,71.65558252427185,12,357,2.75
2562,25,27,23,584,72.0,12,201,3.25
2562,25,27,28,136,72.0,12,1868,3.25
2566,25,27,49,660,72.0,12,154,3.5
141,26,57,30,1381,75.0,1,1015,2.5
175,26,57,14,1157,70.0,1,1699,3.0
647,26,57,49,1266,72.0,1,420,3.75
661,26,57,22,348,70.0,1,790,3.75
1780,26,57,49,745,68.0,5,387,3.75
2434,27,1,42,1219,70.0,12,1260,3.0
2056,28,38,36,993,70.0,5,2054,3.0
2056,28,38,36,1227,70.0,5,1589,3.0
2056,28,38,36,1120,70.0,5,1049,3.5
2672,29,6,8,1303,70.0,1,175,2.5
2672,29,6,13,1388,70.0,1,997,3.0
995,30,1,28,1123,70.0,1,2008,3.0
999,30,1,4,107,71.65558252427185,1,168,2.5
999,30,1,2,575,70.0,1,167,2.5
1474,30,1,34,990,70.0,1,1676,3.5
2146,31,5,4,117,70.0,1,90,3.0
1454,32,37,35,125,70.0,5,1127,2.75
1454,32,37,35,576,71.65558252427185,5,73,3.5
2290,33,57,1,144,72.0,5,834,2.5
2294,33,57,49,639,72.0,5,47,3.25
983,34,57,13,426,70.0,1,290,3.25
983,34,57,30,267,70.0,1,1155,3.5
983,34,57,28,1123,70.0,1,1388,3.75
1295,34,57,35,788,71.65558252427185,1,396,4.0
1554,34,57,4,107,70.0,1,995,3.5
1980,34,57,10,1317,71.65558252427185,1,1661,3.5
1868,35,57,4,186,71.65558252427185,5,1862,3.75
2374,36,56,35,1006,71.65558252427185,14,1889,2.25
1948,37,56,29,89,71.65558252427185,5,155,3.0
1948,37,56,29,1197,71.65558252427185,5,1697,3.25
1784,38,57,4,189,71.65558252427185,5,947,2.75
1784,38,57,13,405,70.0,5,1609,2.75
1784,38,57,14,437,70.0,5,970,2.75
586,39,3,10,352,71.65558252427185,12,1333,2.75
586,39,3,14,433,71.65558252427185,12,526,3.5
